country,countrycode,ifscode,region
Albania,ALB,914,Europe and Central Asia
Algeria,DZA,612,Middle East and North Africa
Angola,AGO,614,Sub-Saharan Africa
Antigua and Barbuda,ATG,311,Latin America and Caribbean
Argentina,ARG,213,Latin America and Caribbean
Armenia,ARM,911,Europe and Central Asia
Australia,AUS,193,Oceania
Austria,AUT,122,Europe and Central Asia
Azerbaijan,AZE,912,Europe and Central Asia
Bahamas,BHS,313,Latin America and Caribbean
Bahrain,BHR,419,Middle East and North Africa
Bangladesh,BGD,513,South Asia
Barbados,BRB,316,Latin America and Caribbean
Belarus,BLR,913,Europe and Central Asia
Belgium,BEL,124,Europe and Central Asia
Belize,BLZ,339,Latin America and Caribbean
Benin,BEN,638,Sub-Saharan Africa
Bhutan,BTN,514,South Asia
Bolivia,BOL,218,Latin America and Caribbean
Bosnia and Herzegovina,BIH,963,Europe and Central Asia
Botswana,BWA,616,Sub-Saharan Africa
Brazil,BRA,223,Latin America and Caribbean
Brunei Darussalam,BRN,516,Latin America and Caribbean
Bulgaria,BGR,918,Europe and Central Asia
Burkina Faso,BFA,748,Sub-Saharan Africa
Burundi,BDI,618,Sub-Saharan Africa
Cambodia,KHM,522,East Asia
Cameroon,CMR,622,Sub-Saharan Africa
Canada,CAN,156,North America
Central African Republic,CAF,626,Sub-Saharan Africa
Chad,TCD,628,Sub-Saharan Africa
Chile,CHL,228,Latin America and Caribbean
China,CHN,924,East Asia
Colombia,COL,233,Latin America and Caribbean
Comoros,COM,632,Sub-Saharan Africa
Congo,COG,634,Sub-Saharan Africa
Congo D.R.,COD,636,Sub-Saharan Africa
Costa Rica,CRI,238,Latin America and Caribbean
Cote d'Ivoire,CIV,662,Sub-Saharan Africa
Croatia,HRV,960,Europe and Central Asia
Cyprus,CYP,423,Europe and Central Asia
Czech Republic,CZE,935,Europe and Central Asia
Denmark,DNK,128,Europe and Central Asia
Djibouti,DJI,611,Sub-Saharan Africa
Dominica,DMA,321,Latin America and Caribbean
Dominican Republic,DOM,243,Latin America and Caribbean
Ecuador,ECU,248,Latin America and Caribbean
Egypt,EGY,469,Middle East and North Africa
El Salvador,SLV,253,Latin America and Caribbean
Equatorial Guinea,GNQ,642,Sub-Saharan Africa
Estonia,EST,939,Europe and Central Asia
Ethiopia,ETH,644,Middle East and North Africa
Fiji,FJI,819,Oceania
Finland,FIN,172,Europe and Central Asia
France,FRA,132,Europe and Central Asia
Gabon,GAB,646,Sub-Saharan Africa
Gambia,GMB,648,Sub-Saharan Africa
Georgia,GEO,915,Europe and Central Asia
Germany,DEU,134,Europe and Central Asia
Ghana,GHA,652,Sub-Saharan Africa
Greece,GRC,174,Europe and Central Asia
Grenada,GRD,328,Latin America and Caribbean
Guatemala,GTM,258,Latin America and Caribbean
Guinea,GIN,656,Sub-Saharan Africa
Guinea-Bissau,GNB,654,Sub-Saharan Africa
Guyana,GUY,336,Latin America and Caribbean
Haiti,HTI,263,Latin America and Caribbean
Honduras,HND,268,Latin America and Caribbean
Hong Kong,HKG,532,East Asia
Hungary,HUN,944,Europe and Central Asia
Iceland,ISL,176,Europe and Central Asia
India,IND,534,South Asia
Indonesia,IDN,536,South Asia
Iran,IRN,429,Middle East and North Africa
Iraq,IRQ,433,Middle East and North Africa
Ireland,IRL,178,Europe and Central Asia
Israel,ISR,436,Middle East and North Africa
Italy,ITA,136,Europe and Central Asia
Jamaica,JAM,343,Latin America and Caribbean
Japan,JPN,158,East Asia
Jordan,JOR,439,Middle East and North Africa
Kazakhstan,KAZ,916,Europe and Central Asia
Kenya,KEN,664,Sub-Saharan Africa
Kuwait,KWT,443,Middle East and North Africa
Kyrgyzstan,KGZ,917,Europe and Central Asia
Laos,LAO,544,East Asia
Latvia,LVA,941,Europe and Central Asia
Lebanon,LBN,446,Middle East and North Africa
Lesotho,LSO,666,Sub-Saharan Africa
Liberia,LBR,668,Sub-Saharan Africa
Lithuania,LTU,946,Europe and Central Asia
Luxembourg,LUX,137,Europe and Central Asia
Macedonia,MKD,962,Europe and Central Asia
