year,ifs,iso,country,region,income_group,lending_category,pvd,hhd,gg,cg,pop,emp,hc,ctfp,labsh,pl_c,pl_i,pl_g,pl_x,pl_m,debt,debt_imp,rgdpc,growth,log_growth,gdp,gini,rgdpc_imputed,gdp_capita,independence_dummy,independence_year,us_pegger_dummy,gini_imputed,population
1973,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.11069676953463344,25056478,8902623.176574707,2.139695167541504,0.6458345055580139,0.4410236179828644,0.37497323751449585,0.5586273670196533,0.5509443283081055,0.255892813205719,0.28946009278297424,0.11069676953463344,0.11069676953463344,12691,0.042810188989317995,0.0419191738285915,0.02811754038,NA,12691,0.042810188989317995,0,NA,0,37.36085796356201,25020588
1974,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.1199212504981229,25462301.999999996,9226568.222045898,2.161644220352173,0.6960206031799316,0.4410236179828644,0.3911655843257904,0.6121960282325745,0.6638081669807434,0.23996174335479736,0.29084253311157227,0.1199212504981229,0.1199212504981229,13284,0.04672602631786305,0.04566722268647282,0.05533804396,NA,13284,0.04672602631786305,0,NA,0,37.29619047164017,25449754
1975,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.31178655352036927,25865776,9285899.16229248,2.1838183403015137,0.6742655634880066,0.4410236179828644,0.38618820905685425,0.837003767490387,0.6773440837860107,0.24606110155582428,0.2972918748855591,0.31178655352036927,0.31178655352036927,12946,-0.025444143330322192,-0.025773443391181688,-2.8412104000000003e-4,NA,12946,-0.025444143330322192,0,NA,0,37.19918923376706,25875558
1976,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.26486239997589983,26264681,9292825.69885254,2.196906328201294,0.6497817635536194,0.4410236179828644,0.43386420607566833,0.8620065450668335,0.512202262878418,0.3099328875541687,0.3972328305244446,0.26486239997589983,0.26486239997589983,12696,-0.019310984087749113,-0.0194998768992105,-0.02018251517,NA,12696,-0.019310984087749113,0,NA,0,37.10218799589779,26290257
1977,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.23159408419460903,26661398,9544593.811035156,2.2100729942321777,0.6599680781364441,0.4410236179828644,0.4904284179210663,0.8159329295158386,0.5320290923118591,0.2914467751979828,0.40797483921051025,0.23159408419460903,0.23159408419460903,13236,0.04253308128544423,0.04165340683525785,0.06934147757,NA,13236,0.04253308128544423,0,NA,0,37.03752050398752,26713780
1978,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.161435097110619,27061047,9631727.21862793,2.223318338394165,0.6338409185409546,0.4410236179828644,0.5197698473930359,0.8852355480194092,0.6640146374702454,0.252164751291275,0.35242825746536255,0.161435097110619,0.161435097110619,12444,-0.05983680870353581,-0.06170181102397514,-0.04506124802000001,NA,12444,-0.05983680870353581,0,NA,0,37.03752050399138,27146121
1979,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.1143982236734224,27471035.999999996,9799654.960632324,2.236643075942993,0.6572784185409546,0.4410236179828644,0.5660701394081116,0.8815407752990723,0.7296536564826965,0.22138085961341855,0.27980750799179077,0.1143982236734224,0.1143982236734224,13114,0.05384120861459338,0.05244178280603711,0.10222763459999999,NA,13114,0.05384120861459338,0,NA,1,37.134521741864496,27584134
1980,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.10518021054215015,27896528,9828572.273254396,2.2500476837158203,0.6509801149368286,0.4410236179828644,0.5768439173698425,0.8930540680885315,0.9079075455665588,0.19604124128818512,0.20605000853538513,0.10518021054215015,0.10518021054215015,13080,-0.002592649077321946,-0.0025960158123750155,0.0151878395,37.36085796356201,13080,-0.002592649077321946,0,NA,1,37.36085796356201,28024803
1981,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.24445939239520775,28338514.999999996,9851314.544677734,2.2831640243530273,0.637012779712677,0.4410236179828644,0.6089782118797302,0.9287773370742798,0.9322049021720886,0.26889532804489136,0.2648545205593109,0.24445939239520775,0.24445939239520775,12125,-0.07301223241590214,-0.07581490920550576,-0.05189789141,37.74886291503906,12125,-0.07301223241590214,0,NA,0,37.74886291503906,28471285
1982,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.5091728323825072,28794548,10007144.927978516,2.316767930984497,0.660266101360321,0.4410236179828644,0.6124729514122009,1.0745041370391846,0.9270946383476256,0.36329638957977295,0.4353191256523132,0.5091728323825072,0.5091728323825072,11550,-0.04742268041237113,-0.0485839998557444,-0.00735659159,38.139029045104984,11550,-0.04742268041237113,0,NA,0,38.139029045104984,28922762
1983,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.5922908611158204,29262047,10316276.550292969,2.3508665561676025,0.6752154231071472,0.4410236179828644,0.6083510518074036,1.063502311706543,0.91877681016922,0.3820229172706604,0.4641492068767547,0.5922908611158204,0.5922908611158204,11775,0.01948051948051948,0.01929320293467885,0.04349093279,38.614274139404294,11775,0.01948051948051948,0,NA,0,38.614274139404294,29377137
1984,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.5037002250766199,29737092.999999996,10556924.819946287,2.3854668140411377,0.67042076587677,0.4410236179828644,0.6085526943206787,1.064885139465332,0.8809993267059326,0.341896116733551,0.38671064376831055,0.5037002250766199,0.5037002250766199,11837,0.005265392781316348,0.0052515790692751925,0.01570738702,39.15110992431641,11837,0.005265392781316348,0,NA,0,39.15110992431641,29832197
1985,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.6264001124312,30216279,10633323.669433594,2.420576333999634,0.6228618621826172,0.4410236179828644,0.6301026344299316,0.9822180867195128,0.7679206132888794,0.3420814275741577,0.3843594491481781,0.6264001124312,0.6264001124312,10895,-0.07958097490918307,-0.08292625057517332,-0.05189024353,39.754511985778805,10895,-0.07958097490918307,0,NA,1,39.754511985778805,30287112
1986,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.5156957246483088,30698964,10947461.128234863,2.4418883323669434,0.6369045972824097,0.4410236179828644,0.6617123484611511,0.994597554206848,0.9124590158462524,0.38515591621398926,0.4188169538974762,0.5156957246483088,0.5156957246483088,11515,0.056906837999082145,0.055346564876065416,0.06153377063,40.37915397644043,11515,0.056906837999082145,0,NA,0,40.37915397644043,30748326
1987,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.6835967022130961,31184414.999999996,11175552.368164064,2.463388204574585,0.6309917569160461,0.4410236179828644,0.6314060688018799,0.945572793483734,0.8509100079536438,0.4264569580554962,0.4641321897506714,0.6835967022130961,0.6835967022130961,11633,0.010247503256621798,0.010195353561980853,0.02704868828,41.105781898498535,11633,0.010247503256621798,0,NA,0,41.105781898498535,31216453
1988,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.5664350218930714,31668948.999999996,11396119.117736816,2.485077142715454,0.6193116307258606,0.4410236179828644,0.7102415561676025,1.0122443437576294,0.9125961065292358,0.450347900390625,0.4889302849769592,0.5664350218930714,0.5664350218930714,11244,-0.033439353563139346,-0.03401123379034387,-0.01089933341,41.7457799911499,11244,-0.033439353563139346,0,NA,0,41.7457799911499,31690792
1989,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,1.090433514438956,32148134,11496272.087097168,2.5069570541381836,0.5579028725624084,0.4410236179828644,0.451842725276947,0.6086860299110413,0.4608103334903717,0.4628005623817444,0.4853640794754028,1.090433514438956,1.090433514438956,10393,-0.0756848096762718,-0.07870215043800083,-0.07156949656,42.223099060058594,10393,-0.0756848096762718,0,NA,0,42.223099060058594,32165766
1990,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.4474283017660065,32618651,11811478.614807129,2.529029607772827,0.5761784315109253,0.4410236179828644,0.7140446305274963,1.1186950206756592,1.3373562097549438,0.4701356887817383,0.5060438513755798,0.4474283017660065,0.4474283017660065,10254,-0.013374386606369672,-0.013464629244775796,-0.024672137780000002,42.50913204193115,10254,-0.013374386606369672,0,NA,0,42.50913204193115,32637657
1991,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.3293441363048355,33079000,12190682.411193848,2.552567958831787,0.609840452671051,0.4410236179828644,0.8110222220420837,1.064756989479065,1.6891374588012695,0.5346489548683167,0.5481356382369995,0.3293441363048355,0.3293441363048355,11223.9846,0.09459572849619659,0.09038509737783806,0.09133110567,42.70872207641602,11223.9846,0.09459572849619659,0,NA,1,42.70872207641602,33105763
1992,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.2776823067533283,33529325.999999996,12385934.829711914,2.5709738731384277,0.6264113783836365,0.4410236179828644,0.842535674571991,0.967523992061615,1.3211853504180908,0.4678906202316284,0.4979974925518036,0.2776823067533283,0.2776823067533283,12267.0836,0.09293482102603742,0.08886657432024614,0.07937291555999999,42.7697550201416,12267.0836,0.09293482102603742,0,NA,1,42.7697550201416,33568285
1993,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.26892713909431093,33970110.99999999,12345012.664794922,2.58705997467041,0.6371707916259766,0.4410236179828644,0.7575659155845642,0.8504251837730408,1.0910996198654177,0.4874708950519562,0.4922437071800232,0.26892713909431093,0.26892713909431093,12926.7947,0.053778968295284175,0.05238272062774797,0.08206979072,43.048570823669436,12926.7947,0.053778968295284175,0,NA,1,43.048570823669436,34027240
1994,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.28425983266469274,34402671.99999999,12416181.564331057,2.6032464504241943,0.657434344291687,0.4318451583385467,0.7368320822715759,0.744512677192688,0.8762941360473633,0.5010519027709961,0.5158376693725586,0.28425983266469274,0.28425983266469274,13571.3794,0.04986423277844734,0.0486608536934283,0.058362007040000004,43.51809284210205,13571.3794,0.04986423277844734,0,NA,1,43.51809284210205,34488696
1995,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.3074937986763288,34828170,11835313.79699707,2.619534492492676,0.6924816966056824,0.39392945170402527,0.7007973194122314,0.6518973708152771,0.6140251159667969,0.5356731414794922,0.54765784740448,0.3074937986763288,0.3074937986763288,13086.0365,-0.035762237993287524,-0.036417373696702386,-0.028452096110000002,44.116198959350584,13086.0365,-0.035762237993287524,0,NA,1,44.116198959350584,34946110
1996,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.32550752715205566,35246373.99999999,12137214.660644531,2.627023935317993,0.8278177976608276,0.3669727146625519,0.6465851068496704,0.5064579844474792,0.33527567982673645,0.5354721546173096,0.5399456024169922,0.32550752715205566,0.32550752715205566,13715.2268,0.048081044248959585,0.046960915207487984,0.05526689827,44.69540283203125,13715.2268,0.048081044248959585,0,NA,1,44.69540283203125,35389362
1997,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.3167579872836257,35657429,12762511.253356934,2.6345345973968506,0.8089302778244019,0.35687369108200073,0.6505107879638672,0.510369598865509,0.39289137721061707,0.5199188590049744,0.5196952223777771,0.3167579872836257,0.3167579872836257,14722.6459,0.07345260232955092,0.07088018489762853,0.08111046771,45.17253993988037,14722.6459,0.07345260232955092,0,NA,1,45.17253993988037,35815971
1998,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.34146879991670764,36063459,13351142.88330078,2.6420669555664063,0.7657354474067688,0.36957648396492,0.6437435150146484,0.5183998942375183,0.4614046812057495,0.48987877368927,0.49500542879104614,0.34146879991670764,0.34146879991670764,15185.9587,0.0314693977663349,0.030984385387993515,0.038501788519999997,45.649849815368654,15185.9587,0.0314693977663349,0,NA,1,45.649849815368654,36233195
1999,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.38916986260079234,36467217.99999999,13461274.147033691,2.649620771408081,0.7154215574264526,0.39151379466056824,0.6318519711494446,0.5188069939613342,0.5261430144309998,0.4749861657619476,0.49579307436943054,0.38916986260079234,0.38916986260079234,14577.8323,-0.04004530843350702,-0.04086919191893802,-0.03385457041,46.01956790924072,14577.8323,-0.04004530843350702,0,NA,1,46.01956790924072,36653031
2000,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.4083283885473563,36870787,13598359.107971191,2.657196044921875,0.7087386846542358,0.3911061882972718,0.6319764256477356,0.5037505626678467,0.5824320912361145,0.4561617970466614,0.474749892950058,0.4083283885473563,0.4083283885473563,14368.9427,-0.014329263480414741,-0.014432918770529423,-0.00788998939,46.3514179611206,14368.9427,-0.014329263480414741,0,NA,1,46.3514179611206,37070774
2001,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,NA,NA,0.4800661871008884,37275652,13505481.719970703,2.6830029487609863,0.6842665076255798,0.39978456497192383,0.628882110118866,0.4995883703231811,0.6304005980491638,0.4457775056362152,0.45952048897743225,0.4800661871008884,0.4800661871008884,13651.981,-0.04989662183008078,-0.05118448118169143,-0.04408839683,46.470853080749514,13651.981,-0.04989662183008078,0,NA,1,46.470853080749514,37480493
