country,inclued,match
Argentina,TRUE,TRUE
Australia,TRUE,TRUE
Austria,TRUE,TRUE
Belgium,TRUE,TRUE
Burkina Faso,TRUE,TRUE
Bangladesh,TRUE,TRUE
Bolivia,TRUE,TRUE
Brazil,TRUE,TRUE
Barbados,TRUE,TRUE
Botswana,TRUE,TRUE
Central African Republic,TRUE,TRUE
Canada,TRUE,TRUE
Switzerland,TRUE,TRUE
Chile,TRUE,TRUE
China,TRUE,TRUE
Cote d'Ivoire,TRUE,TRUE
Colombia,TRUE,TRUE
Costa Rica,TRUE,TRUE
Cyprus,TRUE,TRUE
Germany,TRUE,TRUE
Denmark,TRUE,TRUE
Algeria,TRUE,TRUE
Ecuador,TRUE,TRUE
Egypt,TRUE,TRUE
Spain,TRUE,TRUE
Finland,TRUE,TRUE
France,TRUE,TRUE
United Kingdom,TRUE,TRUE
Ghana,TRUE,TRUE
Gambia,TRUE,TRUE
Greece,TRUE,TRUE
Guatemala,TRUE,TRUE
Honduras,TRUE,TRUE
Indonesia,TRUE,TRUE
India,TRUE,TRUE
Ireland,TRUE,TRUE
Iran,TRUE,TRUE
Italy,TRUE,TRUE
Jamaica,TRUE,TRUE
Jordan,TRUE,TRUE
Japan,TRUE,TRUE
Kenya,TRUE,TRUE
South Korea,TRUE,TRUE
Sri Lanka,TRUE,TRUE
Lesotho,TRUE,TRUE
Luxembourg,TRUE,TRUE
Morocco,TRUE,TRUE
Madagascar,TRUE,TRUE
Mexico,TRUE,TRUE
Mali,TRUE,TRUE
Mauritania,TRUE,TRUE
Mauritius,TRUE,TRUE
Malawi,TRUE,TRUE
Malaysia,TRUE,TRUE
Niger,TRUE,TRUE
Nigeria,TRUE,TRUE
Netherlands,TRUE,TRUE
Norway,TRUE,TRUE
Nepal,TRUE,TRUE
New Zealand,TRUE,TRUE
Pakistan,TRUE,TRUE
Panama,TRUE,TRUE
Peru,TRUE,TRUE
Philippines,TRUE,TRUE
Portugal,TRUE,TRUE
Paraguay,TRUE,TRUE
Rwanda,TRUE,TRUE
Senegal,TRUE,TRUE
Singapore,TRUE,TRUE
Sierra Leone,TRUE,TRUE
El Salvador,TRUE,TRUE
Sweden,TRUE,TRUE
Thailand,TRUE,TRUE
Trinidad and Tobago,TRUE,TRUE
Tunisia,TRUE,TRUE
Turkey,TRUE,TRUE
Uganda,TRUE,TRUE
Uruguay,TRUE,TRUE
United States,TRUE,TRUE
South Africa,TRUE,TRUE
Zambia,TRUE,TRUE
Zimbabwe,TRUE,TRUE
